año,Cuota.recomendada,Cuota.decretada,Rango.inf,Rango.sup,Desembarques,BDo,Consumo.cuota,RMS
2001,,,,,27698,,,
2002,,,,,22593,,,
2003,,,,,22432,,,
2004,,,,,29882,,,
2005,,,,,30886,,,
2006,,,,,31283,,,
2007,,,,,30368,,,
2008,,,,,27854,,,
2009,,,,,26100,,,
2010,26000,26000,,,25308,0.18,,0.4
2011,24000,24000,,,20750,0.2,,0.4
2012,23000,23000,,,19982,,,0.4
2013,21000,21000,,,19252,0.25,,0.4
2014,12120,12120,9696,12120,12256,0.25,1.011221122,0.4
2015,16219,16219,9696,16219,16130,0.25,0.994512609,0.4
2016,17708,17708,12975,17708,16689,0.3,0.942455387,0.4
2017,19010,19010,15208,19010,16233,0.3,0.916704314,0.4
2018,16334,20310,16334,20418,18990,0.23,0.935007386,0.4
2019,14855,19537,11884,14855,18162,0.3,0.92962072,0.4
2020,17709,17654,14168,17709,15689,0.31,0.88869378,0.4
2021,19501,19446,15600,19501,17880,0.29,0.9194693,0.4
2022,19501,19446,15600,19501,17180,0.27,0.883472179,0.4
2023,19501,19446,15600,19501,16623,0.33,0.854828757,0.4
2024,19308,19253,15446,19308,18333,0.32,0.952214501,0.4
2025,18751,18696,15000,18751,17617,,,0.4
2026,22306,,17845,22306,,,,